AdvA,time,rssi
3e:37:b2:8c:9b:a0,60,-89
56:71:46:d0:9b:9e,60,-64
56:71:46:d0:9b:9e,60,-64
56:71:46:d0:9b:9e,60,-64
3e:17:b2:8c:9b:a0,60,-88
56:71:46:d0:9b:9e,61,-64
3e:37:b2:8c:9b:a0,61,-89
56:71:46:d0:9b:9e,61,-70
56:71:46:d0:9b:9e,61,-65
56:71:46:d0:9b:9e,62,-66
3e:37:b2:8c:9b:a0,62,-88
56:71:46:d0:9b:9e,62,-65
56:71:46:d0:9b:9e,62,-64
3e:37:a2:8d:bb:a0,62,-88
3e:37:b2:8c:9b:a0,63,-88
56:71:46:d0:9b:9e,63,-64
56:71:46:d0:9b:9e,63,-64
3e:37:b2:8c:9b:a0,64,-88
56:71:46:d0:9b:9e,64,-64
3e:36:b2:8c:99:a0,64,-88
56:71:46:d0:9b:9e,64,-64
3e:37:b2:8c:9b:a0,64,-88
56:71:46:d0:9b:9e,65,-70
3e:37:b2:8c:9b:a0,65,-88
56:71:46:d0:9b:9e,65,-64
3e:37:b2:8c:9b:a0,65,-88
56:71:46:d0:9b:9e,66,-64
3e:37:b2:8c:9b:a0,66,-88
56:71:46:d0:9b:9e,66,-64
3e:36:b2:8c:9b:a0,66,-88
56:71:46:d0:9b:9e,66,-63
3e:37:b2:94:9b:a0,67,-87
56:71:46:d0:9b:9e,67,-64
56:71:46:d0:9b:9e,67,-64
3e:37:b2:8c:9b:a0,67,-88
56:71:46:d0:9b:9e,67,-64
3e:37:b2:8c:9b:a0,68,-88
56:71:46:d0:9b:9e,68,-64
56:71:46:d0:9b:9e,68,-64
56:71:46:d0:9b:9e,68,-64
3e:37:b2:8c:9b:a0,69,-88
56:71:46:d0:9b:9e,69,-64
56:71:46:d0:9b:9e,70,-64
56:71:46:d0:9b:9e,70,-64
3f:37:b2:8c:9b:a0,71,-88
3e:37:b2:8c:9b:a0,71,-88
56:71:46:d0:9b:9e,71,-64
3e:37:b2:8c:9b:a0,71,-100
56:71:46:d0:9b:9e,72,-64
3e:37:b2:8c:9b:a0,72,-89
56:71:46:d0:9b:9e,72,-64
56:71:46:d0:9b:9e,72,-64
3e:37:b2:8c:9b:a0,72,-88
3e:37:b2:8c:9b:a0,73,-88
56:71:46:d0:9b:9e,73,-65
3e:37:b2:8c:9b:a0,73,-88
56:71:46:d0:9b:9e,73,-64
7e:37:b2:8c:9b:a0,74,-88
56:71:46:d0:9b:9e,74,-70
56:71:46:d0:9b:9e,74,-64
56:71:46:d0:9b:9e,74,-64
1e:2f:b2:8c:9b:a0,74,-88
56:71:46:d0:9b:9e,75,-64
7e:37:b2:8c:9b:a0,75,-88
56:71:46:d0:9b:9e,75,-64
56:71:46:d0:9b:9e,75,-64
3e:37:b2:8c:9b:a0,75,-89
56:71:46:d0:9b:9e,76,-64
3e:37:b2:8c:9b:a0,76,-88
56:71:46:d0:9b:9e,76,-64
56:71:46:d0:9b:9e,76,-64
56:71:46:d0:9b:9e,76,-64
3e:37:b2:8c:9b:a0,77,-89
3e:37:b2:8c:9b:a0,77,-88
3e:37:b2:8c:9b:a0,77,-88
56:71:46:d0:9b:9e,77,-64
56:71:46:d0:9b:9e,78,-64
56:71:46:d0:9b:9e,79,-64
56:71:46:d0:9b:9e,79,-64
56:71:46:d0:9b:9e,79,-70
3e:57:32:8d:9b:a0,80,-88
56:71:46:d0:9b:9e,80,-64
56:71:46:d0:9b:9e,80,-64
56:71:46:d0:9b:9e,80,-64
3e:37:b2:8c:9b:a0,80,-88
56:71:46:d0:9b:9e,81,-64
3e:37:b2:8c:9b:a0,81,-89
56:71:46:d0:9b:9e,81,-64
3e:37:b2:8c:9b:a0,81,-89
56:71:46:d0:9b:9e,81,-64
7e:37:b2:8c:9b:a0,81,-88
56:71:46:d0:9b:9e,82,-64
3e:37:b2:8c:9b:a0,82,-88
3e:37:b2:8c:9b:a0,83,-89
56:71:46:d0:9b:9e,83,-64
56:71:46:d0:9b:9e,83,-64
3e:37:b2:8c:9b:a0,83,-88
3e:37:b2:8c:9b:a0,83,-88
56:71:46:d0:9b:9e,84,-64
56:71:46:d0:9b:9e,85,-64
56:71:46:d0:9b:9e,85,-64
56:71:46:d0:9b:9e,85,-64
3e:37:b2:8c:9b:a0,85,-88
56:71:46:d0:9b:9e,85,-64
56:71:46:d0:9b:9e,86,-64
3e:37:b2:8c:9b:a0,86,-88
56:71:46:d0:9b:9e,86,-64
56:71:46:d0:9b:9e,86,-64
3e:37:b2:8c:9b:a0,87,-88
56:71:46:d0:9b:9e,87,-66
3e:37:b2:8c:9b:a0,87,-89
56:71:46:d0:9b:9e,87,-64
3e:37:b2:8c:9b:a0,87,-88
3e:37:b2:8c:99:a0,88,-88
56:71:46:d0:9b:9e,88,-64
56:71:46:d0:9b:9e,89,-64
3e:37:b2:8c:9b:a0,89,-88
3e:37:b2:8c:9b:a0,89,-89
56:71:46:d0:9b:9e,90,-64
7e:37:b2:8c:9b:a0,90,-88
56:71:46:d0:9b:9e,90,-64
56:71:46:d0:9b:9e,91,-70
3e:37:b2:8c:9b:a0,91,-88
3e:37:b2:8c:99:a0,91,-88
56:71:46:d0:9b:9e,91,-64
56:71:46:d0:9b:9e,91,-64
56:71:46:d0:9b:9e,92,-64
3e:37:b2:8c:99:a0,92,-89
3e:37:b2:8c:9b:a0,92,-88
56:71:46:d0:9b:9e,92,-64
56:71:46:d0:9b:9e,93,-64
3e:37:b2:8c:9b:a0,93,-88
3e:37:b2:8c:9b:a0,93,-87
56:71:46:d0:9b:9e,93,-70
3e:37:b2:8c:9b:a0,94,-88
56:71:46:d0:9b:9e,94,-64
3e:37:b2:8c:9b:a0,94,-88
56:71:46:d0:9b:9e,94,-64
3e:37:b2:8c:9b:a0,94,-88
56:71:46:d0:9b:9e,94,-66
3e:37:b2:8c:9b:a0,94,-88
3f:37:b2:8c:9b:a0,95,-88
56:71:46:d0:9b:9e,95,-64
3e:37:b2:8c:9b:a0,95,-88
3e:37:b2:8c:9b:a0,96,-88
56:71:46:d0:9b:9e,96,-64
56:71:46:d0:9b:9e,96,-64
3e:37:b2:8c:9b:a0,96,-88
56:71:46:d0:9b:9e,97,-63
7e:37:b2:8c:9b:a0,97,-88
56:71:46:d0:9b:9e,97,-64
3e:37:b2:8c:9b:a0,97,-88
56:71:46:d0:9b:9e,97,-64
7f:3f:b2:8c:9b:a0,97,-88
56:71:46:d0:9b:9e,98,-64
56:71:46:d0:9b:9e,98,-64
3e:37:b2:8c:9b:a0,98,-88
56:71:46:d0:9b:9e,98,-64
56:71:46:d0:9b:9e,99,-64
56:71:46:d0:9b:9e,99,-64
3e:37:b2:8c:9b:a0,99,-88
56:71:46:d0:9b:9e,99,-64
3e:37:b2:8c:9b:a0,100,-88
56:71:46:d0:9b:9e,100,-64
56:71:46:d0:9b:9e,100,-64
3e:37:b2:8c:9b:a0,100,-88
3e:37:b2:8c:9b:a0,101,-89
56:71:46:d0:9b:9e,101,-64
56:71:46:d0:9b:9e,102,-64
56:71:46:d0:9b:9e,102,-64
56:71:46:d0:9b:9e,103,-64
56:71:46:d0:9b:9e,103,-64
56:71:46:d0:9b:9e,103,-64
20:99:a6:4a:19:15,104,-88
56:71:46:d0:9b:9e,104,-64
20:99:a6:4a:19:15,104,-88
56:71:46:d0:9b:9e,104,-66
20:99:a6:4a:19:15,104,-88
56:71:46:d0:9b:9e,104,-64
20:99:a6:4a:19:15,104,-88
56:71:46:d0:9b:9e,105,-64
30:99:a6:4a:19:15,105,-88
56:71:46:d0:9b:9e,105,-64
56:71:46:d0:9b:9e,106,-64
56:71:46:d0:9b:9e,106,-64
20:99:a6:4a:19:15,106,-88
56:71:46:d0:9b:9e,107,-64
20:99:a6:4a:19:15,107,-88
56:71:46:d0:9b:9e,107,-63
20:99:a6:4a:19:15,107,-88
56:71:46:d0:9b:9e,107,-65
56:71:46:d0:9b:9e,108,-64
20:99:a6:4a:19:15,108,-88
56:71:46:d0:9b:9e,108,-64
56:71:46:d0:9b:9e,109,-64
56:71:46:d0:9b:9e,109,-64
20:99:a6:4a:19:15,110,-88
56:71:46:d0:9b:9e,110,-64
20:99:a6:4a:19:15,110,-88
56:71:46:d0:9b:9e,110,-64
56:71:46:d0:9b:9e,110,-64
56:71:46:d0:9b:9e,111,-64
56:71:46:d0:9b:9e,111,-64
20:99:a6:4a:19:15,112,-88
56:71:46:d0:9b:9e,112,-66
20:99:a6:4a:19:15,112,-88
20:99:a6:4a:19:15,112,-88
56:71:46:d0:9b:9e,113,-64
20:99:a6:4a:19:15,113,-88
20:99:a6:4a:19:15,113,-88
56:71:46:d0:9b:9e,113,-60
20:99:a6:4a:19:15,113,-88
20:99:a6:4a:19:15,113,-88
56:71:46:d0:9b:9e,114,-65
20:99:a6:42:19:15,114,-89
56:71:46:d0:9b:9e,114,-64
56:71:46:d0:9b:9e,114,-64
56:71:46:d0:9b:9e,115,-64
20:99:a6:4a:19:15,115,-90
56:71:46:d0:9b:9e,115,-64
20:99:a6:4a:19:15,115,-89
56:71:46:d0:9b:9e,115,-64
20:99:a6:4a:59:15,116,-88
56:71:46:d0:9b:9e,116,-64
20:99:a6:4a:19:15,116,-88
56:71:46:d0:9b:9e,117,-63
20:99:a6:4a:19:15,117,-88
56:71:46:d0:9b:9e,117,-63
56:71:46:d0:9b:9e,117,-66
20:99:a6:4a:19:15,117,-88
56:71:46:d0:9b:9e,117,-64
56:71:46:d0:9b:9e,118,-70
56:71:46:d0:9b:9e,118,-64
56:71:46:d0:9b:9e,119,-63
20:99:a6:4a:19:15,119,-89
56:71:46:d0:9b:9e,119,-64
56:71:46:d0:9b:9e,119,-64
20:99:a6:4a:19:15,120,-89
56:71:46:d0:9b:9e,120,-66
56:71:46:d0:9b:9e,121,-64
56:71:46:d0:9b:9e,121,-63
20:99:a6:4a:19:15,121,-89
56:71:46:d0:9b:9e,121,-64
20:99:a7:ca:59:15,122,-88
56:71:46:d0:9b:9e,122,-64
56:71:46:d0:9b:9e,122,-63
56:71:46:d0:9b:9e,123,-64
56:71:46:d0:9b:9e,123,-64
20:99:a6:4a:19:15,123,-88
20:99:a6:4a:19:15,123,-88
56:71:46:d0:9b:9e,124,-64
20:99:a6:4a:19:15,124,-88
30:99:a6:4a:19:15,124,-88
56:71:46:d0:9b:9e,124,-64
56:71:46:d0:9b:9e,125,-64
56:71:46:d0:9b:9e,125,-64
56:71:46:d0:9b:9e,125,-64
56:71:46:d0:9b:9e,126,-64
56:71:46:d0:9b:9e,126,-64
20:99:a6:4a:19:15,126,-88
56:71:46:d0:9b:9e,127,-63
20:99:a6:4a:19:15,127,-89
56:71:46:d0:9b:9e,128,-64
56:71:46:d0:9b:9e,128,-64
20:99:a6:4a:19:15,128,-88
56:71:46:d0:9b:9e,129,-64
20:99:a6:4a:19:15,130,-89
56:71:46:d0:9b:9e,130,-64
56:71:46:d0:9b:9e,130,-64
20:99:a6:4a:19:15,131,-88
20:99:a6:4a:19:15,131,-88
20:99:a6:4a:19:15,131,-87
56:71:46:d0:9b:9e,131,-64
20:99:a6:4a:19:15,132,-88
56:71:46:d0:9b:9e,132,-70
20:99:a6:42:19:15,132,-88
56:71:46:d0:9b:9e,133,-64
20:99:a6:4a:19:15,133,-88
56:71:46:d0:9b:9e,133,-64
56:71:46:d0:9b:9e,134,-66
20:99:a6:4a:19:15,134,-88
56:71:46:d0:9b:9e,134,-65
56:71:46:d0:9b:9e,135,-64
20:99:a6:4a:19:15,135,-88
20:99:a6:4a:19:15,135,-88
56:71:46:d0:9b:9e,135,-65
20:99:a6:4a:19:15,135,-100
56:71:46:d0:9b:9e,135,-64
56:71:46:d0:9b:9e,136,-65
56:71:46:d0:9b:9e,136,-70
56:71:46:d0:9b:9e,136,-66
20:99:a6:42:19:15,136,-88
20:99:a6:4a:19:15,137,-89
56:71:46:d0:9b:9e,137,-66
56:71:46:d0:9b:9e,137,-66
56:71:46:d0:9b:9e,138,-66
56:71:46:d0:9b:9e,138,-65
20:99:a6:4a:19:15,138,-89
56:71:46:d0:9b:9e,139,-66
56:71:46:d0:9b:9e,139,-66
56:71:46:d0:9b:9e,139,-66
56:71:46:d0:9b:9e,139,-65
56:71:46:d0:9b:9e,140,-66
56:71:46:d0:9b:9e,140,-66
20:99:a6:4a:19:15,140,-90
56:71:46:d0:9b:9e,140,-66
56:71:46:d0:9b:9e,141,-66
20:99:a6:4a:19:17,141,-90
20:99:a6:4a:59:15,141,-89
56:71:46:d0:9b:9e,141,-66
20:99:a7:7a:19:15,141,-90
20:99:a6:4a:19:15,141,-89
56:71:46:d0:9b:9e,141,-66
56:71:46:d0:9b:9e,142,-66
56:71:46:d0:9b:9e,142,-66
56:71:46:d0:9b:9e,143,-68
56:71:46:d0:9b:9e,143,-66
56:71:46:d0:9b:9e,143,-66
20:99:a6:4a:19:15,143,-89
56:71:46:d0:9b:9e,143,-67
56:71:46:d0:9b:9e,144,-66
56:71:46:d0:9b:9e,144,-66
56:71:46:d0:9b:9e,145,-66
20:99:a6:4a:11:15,145,-89
56:71:46:d0:9b:9e,145,-67
20:99:a6:4a:19:15,145,-89
56:71:46:d0:9b:9e,146,-66
20:99:a6:4a:19:15,146,-88
56:71:46:d0:9b:9e,146,-67
56:71:46:d0:9b:9e,146,-66
56:71:46:d0:9b:9e,147,-67
56:71:46:d0:9b:9e,147,-67
20:99:a6:4a:19:15,147,-89
56:71:46:d0:9b:9e,147,-66
56:71:46:d0:9b:9e,147,-67
56:71:46:d0:9b:9e,148,-62
56:71:46:d0:9b:9e,148,-66
30:99:a6:4a:19:15,149,-89
56:71:46:d0:9b:9e,149,-66
56:71:46:d0:9b:9e,149,-66
56:71:46:d0:9b:9e,150,-66
56:71:46:d0:9b:9e,150,-67
20:99:a6:4a:19:15,150,-89
56:71:46:d0:9b:9e,151,-67
56:71:46:d0:9b:9e,151,-67
20:99:a6:4a:19:15,151,-89
56:71:46:d0:9b:9e,151,-66
20:99:a6:4a:19:17,152,-90
56:71:46:d0:9b:9e,152,-68
20:99:a6:4a:19:15,152,-89
56:71:46:d0:9b:9e,152,-66
56:71:46:d0:9b:9e,152,-66
20:99:a6:4a:19:15,153,-89
56:71:46:d0:9b:9e,153,-66
20:99:a6:4a:19:15,154,-89
56:71:46:d0:9b:9e,154,-67
60:99:a6:4a:19:15,154,-101
56:71:46:d0:9b:9e,155,-66
56:71:46:d0:9b:9e,155,-67
20:99:a6:4a:19:15,155,-89
56:71:46:d0:9b:9e,155,-66
56:71:46:d0:9b:9e,155,-66
20:99:a6:0a:19:15,156,-89
20:98:26:5a:19:15,156,-89
20:99:a6:4a:19:75,156,-89
20:99:a6:4a:19:15,156,-89
56:71:46:d0:9b:9e,157,-67
56:71:46:d0:9b:9e,157,-67
56:71:46:d0:9b:9e,157,-67
56:71:46:d0:9b:9e,158,-66
60:99:a6:4a:19:15,158,-89
20:99:a6:4a:19:15,159,-90
20:99:a6:4a:19:15,159,-89
56:71:46:d0:9b:9e,159,-66
20:99:a6:4a:19:15,160,-89
20:99:a6:4a:19:15,160,-89
56:71:46:d0:9b:9e,160,-73
56:71:46:d0:9b:9e,161,-66
56:71:46:d0:9b:9e,161,-67
56:71:46:d0:9b:9e,161,-67
60:99:a6:4a:19:15,161,-89
20:99:a6:4a:19:15,162,-89
30:99:a6:4a:19:15,162,-90
