AdvA,time,rssi
29:21:9f:e4:7e:e7,74,-89
71:17:c0:86:ab:b7,75,-75
29:25:9f:e4:7a:e7,75,-88
71:17:c0:86:ab:b7,76,-79
29:21:9f:e4:7a:e7,76,-88
71:17:c0:86:ab:b7,76,-77
71:17:c0:86:ab:b7,76,-77
71:17:c0:86:ab:b7,77,-77
29:21:9f:e4:7a:e7,77,-88
71:17:c0:86:ab:b7,77,-77
29:21:9f:e4:7a:e7,78,-89
71:17:c0:86:ab:b7,78,-77
29:21:9f:e4:7a:e7,78,-89
29:21:9f:e4:7a:e7,79,-88
71:17:c0:86:ab:b7,79,-76
29:21:9f:e4:7a:e7,79,-88
29:a1:9f:e4:7a:e7,79,-88
71:17:c0:86:ab:b7,80,-77
29:21:9f:e4:7a:e7,80,-89
29:21:9f:e4:7a:e7,81,-89
29:21:9f:e4:7a:e7,81,-89
29:21:9f:e4:7a:e7,81,-89
71:17:c0:86:ab:b7,81,-78
69:01:1f:e4:7a:e7,82,-89
29:21:9f:e4:7a:e7,82,-88
71:17:c0:86:ab:b7,82,-78
29:21:9f:e4:7a:e7,82,-88
71:17:c0:86:ab:b7,82,-78
29:21:9f:e4:7a:e7,82,-88
29:21:9f:e4:7a:e7,83,-88
29:21:9f:e4:7a:e7,83,-88
71:17:c0:86:ab:b7,83,-75
29:21:9f:e4:7a:e7,84,-88
29:21:9f:e4:78:e7,84,-88
29:21:9f:e4:7a:e7,85,-88
71:17:c0:86:ab:b7,85,-77
71:17:c0:86:ab:b7,85,-77
71:17:c0:86:ab:b7,86,-77
71:17:c0:86:ab:b7,86,-77
71:17:c0:86:ab:b7,87,-77
71:17:c0:86:ab:b7,87,-83
29:21:9f:e4:7a:e7,87,-88
29:21:9f:e4:7a:e7,88,-88
71:17:c0:86:ab:b7,88,-83
71:17:c0:86:ab:b7,89,-77
29:21:9f:e4:7a:e7,89,-88
71:17:c0:86:ab:b7,89,-77
71:17:c0:86:ab:b7,89,-77
29:21:9f:e4:7a:e7,89,-88
71:17:c0:86:ab:b7,89,-83
29:21:9f:e4:7a:e7,89,-88
71:17:c0:86:ab:b7,90,-77
71:17:c0:86:ab:b7,90,-77
29:21:9f:f4:7a:e7,90,-88
71:17:c0:86:ab:b7,91,-77
71:17:c0:86:ab:b7,91,-79
29:21:9f:e4:7a:e7,91,-88
29:21:9f:e4:7a:e7,91,-88
71:17:c0:86:ab:b7,92,-77
71:17:c0:86:ab:b7,92,-77
29:a1:9f:e4:7a:e7,92,-88
71:17:c0:86:ab:b7,92,-77
29:21:9f:e4:7a:ef,92,-88
29:21:9f:e4:7a:e7,93,-88
71:17:c0:86:ab:b7,93,-77
29:21:9f:e4:7a:e7,95,-88
29:21:9f:e4:7a:e7,96,-89
71:17:c0:86:ab:b7,96,-75
28:21:9f:e4:7a:e7,96,-89
71:17:c0:86:ab:b7,97,-77
29:21:9f:e4:7a:e7,97,-89
69:21:9f:e4:7a:e7,97,-89
71:17:c0:86:ab:b7,97,-77
29:21:9f:e4:7a:e7,97,-89
29:21:9f:e4:7a:e7,98,-88
71:17:c0:86:ab:b7,98,-84
29:21:9f:e4:7a:e7,98,-88
71:17:c0:86:ab:b7,99,-77
29:21:9f:e4:7a:e7,99,-88
29:21:9f:e4:7a:e7,99,-89
71:17:c0:86:ab:b7,100,-77
29:21:9f:e4:7a:e7,100,-89
29:21:9f:e4:7a:e7,100,-88
29:21:9f:e4:7a:e7,100,-89
71:17:c0:86:ab:b7,101,-77
29:21:9f:e4:7a:e7,101,-89
29:21:9f:e4:7a:e7,101,-88
29:21:9f:e4:7a:e7,101,-88
29:21:9f:e4:7a:e7,101,-89
71:17:c0:86:ab:b7,102,-83
29:21:9f:e4:7a:e7,102,-88
71:17:c0:86:ab:b7,102,-77
29:21:9f:e4:78:e7,103,-102
29:21:9f:e4:7a:e7,103,-88
29:21:9f:e4:7a:e7,103,-88
71:17:c0:86:ab:b7,104,-77
71:17:c0:86:ab:b7,105,-78
71:17:c0:86:ab:b7,105,-77
29:21:9f:e4:7a:e7,105,-89
71:17:c0:86:ab:b7,105,-78
29:21:9f:e4:7a:e7,105,-89
71:17:c0:86:ab:b7,105,-78
29:21:9f:e4:7a:e7,106,-88
71:17:c0:86:ab:b7,106,-78
71:17:c0:86:ab:b7,106,-78
29:21:9f:e4:7a:e7,106,-88
71:17:c0:86:ab:b7,106,-78
71:17:c0:86:ab:b7,107,-78
71:17:c0:86:ab:b7,107,-78
71:17:c0:86:ab:b7,107,-78
29:21:9f:e4:7a:e7,107,-88
29:21:9f:e4:7a:e7,108,-89
71:17:c0:86:ab:b7,108,-82
29:21:9f:e4:7a:e7,109,-88
71:17:c0:86:ab:b7,109,-78
29:21:9f:e4:7a:e7,109,-88
71:17:c0:86:ab:b7,109,-78
71:17:c0:86:ab:b7,110,-81
29:21:9f:e4:7a:e7,110,-89
71:17:c0:86:ab:b7,111,-81
71:17:c0:86:ab:b7,111,-81
29:21:9f:e4:7a:e7,111,-89
29:21:9f:e4:7a:e6,112,-88
71:17:c0:86:ab:b7,112,-77
71:17:c0:86:ab:b7,112,-78
29:61:9f:e4:7a:e7,112,-89
71:17:c0:86:ab:b7,113,-79
71:17:c0:86:ab:b7,113,-79
29:21:9f:e4:7a:e7,113,-88
71:17:c0:86:ab:b7,114,-79
29:21:9f:ec:7a:67,114,-88
71:17:c0:86:ab:b7,114,-85
71:17:c0:86:ab:b7,114,-79
71:17:c0:86:ab:b7,115,-79
29:21:9f:e4:7a:e7,115,-88
71:17:c0:86:ab:b7,115,-79
29:21:9f:e4:7a:e7,115,-88
