,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,0.0%%,2.849492174492174%%,6.577334890848026%%,9.359493146441217%%,8.142653504797199%%,8.875181985414361%%,9.158253739623063%%,10.266907169993521%%,11.20926503525602%%,10.754407232832426%%,10.85073311151693%%,10.468715538046144%%,9.640963240433322%%,9.423036252964154%%,9.296538790749326%%,9.633340343866672%%,9.677944862155403%%,9.627684773587518%%,9.65844493059684%%,9.544767468818113%%
12,0.0%%,9.22122583299054%%,9.810144487392387%%,8.30571622064907%%,5.532085267091668%%,7.410797026710616%%,9.05321755633767%%,10.100652466464496%%,10.429324551960972%%,10.294455706255073%%,10.108090614574138%%,10.048256478663836%%,9.80051734663487%%,9.465944055944064%%,9.462004136214674%%,9.634123648947112%%,9.59446155665344%%,9.486928683131227%%,9.447898093467723%%,9.319513819513828%%
13,0.0%%,9.85400432900433%%,9.869471998169857%%,9.059019519473383%%,6.788997799865897%%,8.27353269253161%%,7.581093072198969%%,8.664873024431916%%,9.889544128033833%%,9.732769954744105%%,10.270088446534315%%,10.386162449309888%%,10.248889132955467%%,9.813865722214686%%,9.582179224284499%%,9.632674343200671%%,9.665245203386455%%,9.561710441457288%%,9.448867588108106%%,9.379521322559306%%
14,0.0%%,6.966443278943278%%,10.11155332465776%%,10.378959430173552%%,10.2592908616691%%,10.398191862408032%%,9.272723879699278%%,9.281658003875185%%,9.335378781334674%%,9.249112239142315%%,9.711894730029169%%,9.830876469218218%%,9.685346043240784%%,9.746684619316206%%,9.56180476233109%%,9.45785395373005%%,9.416088519519578%%,9.32355619064481%%,9.322190467760098%%,9.267995717362815%%
15,0.0%%,10.994877344877345%%,11.251438466634573%%,9.318447971776408%%,12.828727603972915%%,10.903665185694209%%,9.064703320069281%%,9.257909502461532%%,9.42030858627292%%,9.827546489186467%%,9.866690921960686%%,9.373384155417327%%,9.07340795288164%%,9.246214136740459%%,9.264726501568616%%,9.391297299192047%%,9.418865944182413%%,9.43786382393978%%,9.519075860848021%%,9.52618689327551%%
16,0.0%%,10.807417582417582%%,7.60178246101933%%,7.67132029832804%%,14.301079556351333%%,12.397125162564716%%,9.603808313846557%%,9.520263328505738%%,9.207796121080118%%,9.222949037348032%%,9.537927635638528%%,9.317012213479412%%,9.376344238975822%%,9.421970921444608%%,9.379449497870558%%,9.360696321222647%%,9.347158282534709%%,9.383294475899417%%,9.401349705147183%%,9.438936590835333%%
17,5.0%%,24.748196248196244%%,6.679280214727038%%,6.286677275240394%%,10.19635486319365%%,12.361439123764681%%,11.397666616091263%%,10.184134902769122%%,9.47667753593229%%,9.007676521095389%%,9.65561016640797%%,10.029225739887373%%,9.870469406727521%%,9.561219131745453%%,9.462218771679142%%,9.436567651757535%%,9.456813228965137%%,9.522454338910041%%,9.442713404738729%%,9.432976306394036%%
18,79.5%%,20.739668664668656%%,11.031594946210673%%,7.726320871120784%%,7.541862370267633%%,11.439066375016212%%,10.906939378794954%%,11.629896428871621%%,11.054890939841952%%,10.43777344845741%%,10.068021639235225%%,10.28626155284177%%,10.36997750510368%%,10.16195471783081%%,10.116497038382454%%,9.831759512972043%%,9.696040246673162%%,9.446445959104192%%,9.380882830249925%%,9.330249918857522%%
19,82.66666666666666%%,18.330735930735923%%,8.569027589495326%%,8.307964558962956%%,9.252698760200982%%,10.564345452027638%%,10.404126264043725%%,10.250102650460185%%,10.38294032348487%%,9.944101594155875%%,10.029281618438077%%,10.07709261795059%%,10.422278598594396%%,10.349318403115882%%,10.14725569788862%%,9.843635267685908%%,9.7288218111003%%,9.420967218435582%%,9.36140863356054%%,9.345180136319385%%
20,79.83333333333331%%,18.96554834054833%%,11.187271607880966%%,9.625949333774232%%,11.559712483209541%%,10.63565709029477%%,10.187377831257074%%,11.60165940216996%%,11.322495611465932%%,10.253583094965046%%,10.5007644844487%%,10.56904937168096%%,9.926149799567535%%,9.640115159102514%%,9.450503083414485%%,9.375365141187935%%,9.336092177864337%%,9.323433950016236%%,9.317429406037009%%,9.31645569620254%%
