,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,5.203643578643579%%,5.752071643652031%%,4.30472281167709%%,5.792168512679999%%,5.88173421857815%%,5.5992835197920945%%,5.838794411919002%%,5.972360695045577%%,5.6043871740074325%%,5.2593566770782%%,5.229633235962353%%,5.177215189873423%%,5.050632911392411%%,5.025316455696207%%,4.949367088607599%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%
12,1.45%%,5.574421751012377%%,4.6958076074518456%%,6.25375024853809%%,5.9658336675511165%%,5.459924275668212%%,5.628172043368584%%,5.888281826989364%%,5.594500436272592%%,5.308341447581959%%,5.064102564102568%%,5.13924050632912%%,5.063291139240512%%,4.987341772151903%%,4.949367088607599%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%
13,0.7916666666666665%%,4.6093686027117675%%,5.337203613627086%%,5.974308246370797%%,6.066285639455893%%,5.500910653132698%%,5.79625427768%%,5.983972709502365%%,5.44520669204214%%,5.12141445052838%%,5.001460564751707%%,5.012658227848106%%,4.987341772151904%%,4.936708860759498%%,4.936708860759498%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%
14,1.4102564102564101%%,5.062876161356775%%,5.306514110692685%%,6.047509051373737%%,5.964636493533558%%,5.453949509486643%%,5.535611715471815%%,5.979553480053155%%,5.568500009872434%%,5.234988640051937%%,5.025965595585853%%,5.037974683544308%%,4.9240506329113956%%,4.9620253164556996%%,4.936708860759498%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%
15,0.8373015873015872%%,4.370411417476298%%,5.326675620622456%%,6.054082731526922%%,5.879227458491832%%,5.6379133584248%%,5.48465388486708%%,5.879333968274678%%,5.717955040739856%%,5.238234339500167%%,5.016877637130806%%,5.0133073677377515%%,4.987341772151903%%,4.949367088607599%%,4.949367088607599%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%
16,0.611111111111111%%,4.327312806421029%%,4.961030435294635%%,6.0975782615516865%%,5.782105316430115%%,5.656745421439008%%,5.696177591187587%%,5.901353254784307%%,5.722119652499401%%,5.223978553092482%%,5.014605647517043%%,5.051444336254468%%,4.974683544303802%%,4.9620253164556996%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%
17,1.2361111111111112%%,3.714905055260419%%,4.683066343250246%%,5.999953637310858%%,6.150126163000201%%,5.5409822871966865%%,5.8416645177271445%%,6.017493998340106%%,5.795988821305282%%,5.18630314832847%%,5.0170399221032165%%,4.974683544303801%%,4.9620253164557%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%
18,0.45%%,3.6652901824607507%%,4.551626621064053%%,5.68711297745771%%,5.808807675665713%%,5.607458742964406%%,5.8607340660372%%,6.1219990313927735%%,5.844132660588358%%,5.224926971762418%%,5.040895813047715%%,5.05063291139241%%,4.962025316455701%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%
19,0.5%%,4.234367847644626%%,4.5286096639833735%%,6.2311721383834096%%,5.81080675517556%%,5.803335153292253%%,5.901024387500073%%,6.230593900880382%%,5.961473126030091%%,5.520468982494301%%,5.321811100292118%%,5.468354430379752%%,5.075949367088612%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%
20,1.975%%,3.908220559783017%%,4.857852051420224%%,6.490364349759477%%,6.127145823118153%%,5.967432690774135%%,6.07226456991938%%,6.093490453583729%%,6.018884069516983%%,5.481174943200264%%,5.471113274910748%%,5.518987341772158%%,5.088607594936715%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.924050632911396%%,4.911392405063295%%,4.911392405063295%%,4.911392405063295%%
