,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,3.6166666666666663%%,8.736147186147186%%,5.9507270507270515%%,6.8116605616605606%%,8.752997002997008%%,7.970695970695971%%,8.457509157509154%%,8.3521978021978%%,7.66886446886446%%,6.962637362637359%%,6.943589743589739%%,6.804761904761901%%,6.6666666666666625%%,6.799999999999999%%,6.733333333333332%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
12,0.0%%,6.53452380952381%%,6.744494394494393%%,7.085891885891885%%,9.651404151404156%%,7.717948717948719%%,8.312820512820508%%,8.386080586080583%%,7.815750915750909%%,7.315750915750908%%,6.957875457875453%%,6.810256410256406%%,6.8%%,6.866666666666663%%,6.799999999999996%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
13,0.0%%,3.623015873015873%%,6.182725607725607%%,7.594511044511046%%,8.733277833277837%%,7.665934065934064%%,8.1510989010989%%,8.303663003663%%,7.5490842490842445%%,7.515750915750911%%,6.834798534798532%%,6.74358974358974%%,6.738095238095234%%,6.733333333333332%%,6.733333333333332%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
14,0.0%%,2.5539682539682538%%,6.897746697746697%%,8.304051504051506%%,8.73939393939394%%,8.0487345987346%%,7.736630036630035%%,8.360989010989007%%,7.836446886446882%%,6.998351648351643%%,7.0450549450549405%%,6.809523809523807%%,6.6666666666666625%%,6.733333333333332%%,6.733333333333332%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
15,0.0%%,2.6555555555555554%%,6.305805305805304%%,7.840984015984016%%,8.391525141525143%%,8.04835164835165%%,7.945121545121545%%,8.818131868131866%%,7.826923076923074%%,7.044322344322341%%,6.676923076923076%%,6.604761904761903%%,6.666666666666664%%,6.799999999999996%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
16,0.0%%,2.5202380952380947%%,4.981407481407481%%,7.896431346431349%%,8.353085803085806%%,7.882001332001335%%,8.306776556776557%%,8.494871794871795%%,7.615750915750911%%,7.234065934065934%%,6.8245421245421225%%,6.676923076923074%%,6.6666666666666625%%,6.799999999999998%%,6.733333333333332%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
17,0.0%%,1.1357142857142855%%,7.466869241869242%%,8.328174603174604%%,8.414785214785217%%,8.063619713619715%%,8.259157509157513%%,8.525091575091572%%,7.472161172161168%%,6.957875457875454%%,6.548351648351647%%,6.676190476190475%%,6.733333333333332%%,6.733333333333329%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
18,0.0%%,0.9595238095238093%%,6.121006771006769%%,8.747874347874353%%,8.452769452769456%%,7.810206460206461%%,8.4985347985348%%,8.265567765567765%%,7.953113553113549%%,7.095970695970689%%,6.6197802197802185%%,6.7380952380952355%%,6.866666666666663%%,6.799999999999995%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
19,0.0%%,1.5690476190476188%%,6.574062049062048%%,7.588591963591961%%,8.153538128538132%%,8.132434232434234%%,8.90775890775891%%,8.417649017649017%%,8.041208791208787%%,7.05384615384615%%,6.891208791208786%%,7.538095238095232%%,7.133333333333331%%,6.866666666666663%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
20,0.0%%,1.2956349206349205%%,6.265953490953491%%,7.711605061605061%%,9.417499167499173%%,8.381884781884782%%,8.62888777888778%%,8.846703296703295%%,8.021428571428567%%,7.172161172161168%%,6.885714285714283%%,7.733333333333327%%,7.266666666666663%%,6.799999999999996%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%,6.666666666666664%%
