R,T,I,score
19,6,15,10.0%
19,6,16,10.0%
19,6,17,10.0%
19,6,18,10.0%
19,6,19,10.0%
19,6,20,10.0%
20,6,1,10.0%
20,6,2,10.1%
20,6,3,10.0%
20,6,4,10.0%
20,6,5,10.0%
20,6,6,10.0%
20,6,7,10.0%
20,6,8,10.0%
20,6,9,10.0%
20,6,10,10.0%
20,6,11,10.0%
20,6,12,10.0%
20,6,13,10.0%
20,6,14,10.0%
20,6,15,10.0%
20,6,16,10.0%
20,6,17,10.0%
20,6,18,10.0%
20,6,19,10.0%
20,6,20,10.0%
