R,T,I,score
19,6,17,1.2658227848101267%
19,6,18,1.2658227848101267%
19,6,19,1.2658227848101267%
19,6,20,1.2658227848101267%
20,6,1,0.0%
20,6,2,1.282051282051282%
20,6,3,1.282051282051282%
20,6,4,1.282051282051282%
20,6,5,1.282051282051282%
20,6,6,1.282051282051282%
20,6,7,1.282051282051282%
20,6,8,1.2658227848101267%
20,6,9,1.2658227848101267%
20,6,10,1.2658227848101267%
20,6,11,1.2658227848101267%
20,6,12,1.2658227848101267%
20,6,13,1.282051282051282%
20,6,14,1.2658227848101267%
20,6,15,1.2658227848101267%
20,6,16,1.2658227848101267%
20,6,17,1.2658227848101267%
20,6,18,1.2658227848101267%
20,6,19,1.2658227848101267%
20,6,20,1.2658227848101267%
