R,T,I,score
15,6,1,4.7848101265822836%
15,6,2,4.898734177215194%
15,6,3,4.911392405063295%
15,6,4,4.898734177215194%
15,6,5,4.911392405063295%
15,6,6,4.911392405063295%
15,6,7,4.911392405063295%
15,6,8,4.911392405063295%
15,6,9,4.911392405063295%
15,6,10,4.911392405063295%
15,6,11,4.911392405063295%
15,6,12,4.911392405063295%
15,6,13,4.911392405063295%
15,6,14,4.911392405063295%
15,6,15,4.911392405063295%
15,6,16,4.911392405063295%
15,6,17,4.911392405063295%
15,6,18,4.911392405063295%
15,6,19,4.911392405063295%
15,6,20,4.911392405063295%
16,6,1,4.772151898734182%
16,6,2,4.924050632911396%
16,6,3,4.898734177215194%
16,6,4,4.898734177215194%
16,6,5,4.911392405063295%
16,6,6,4.911392405063295%
16,6,7,4.911392405063295%
16,6,8,4.911392405063295%
16,6,9,4.911392405063295%
16,6,10,4.911392405063295%
16,6,11,4.911392405063295%
16,6,12,4.911392405063295%
16,6,13,4.911392405063295%
16,6,14,4.911392405063295%
16,6,15,4.911392405063295%
16,6,16,4.911392405063295%
16,6,17,4.911392405063295%
16,6,18,4.911392405063295%
16,6,19,4.911392405063295%
16,6,20,4.911392405063295%
17,6,1,4.734177215189878%
17,6,2,4.911392405063295%
17,6,3,4.898734177215194%
17,6,4,4.898734177215194%
17,6,5,4.911392405063295%
17,6,6,4.911392405063295%
17,6,7,4.911392405063295%
17,6,8,4.911392405063295%
17,6,9,4.911392405063295%
17,6,10,4.911392405063295%
17,6,11,4.911392405063295%
17,6,12,4.911392405063295%
17,6,13,4.911392405063295%
17,6,14,4.911392405063295%
17,6,15,4.911392405063295%
17,6,16,4.911392405063295%
17,6,17,4.911392405063295%
17,6,18,4.911392405063295%
17,6,19,4.911392405063295%
17,6,20,4.911392405063295%
18,6,1,4.75949367088608%
18,6,2,4.8860759493670916%
18,6,3,4.898734177215194%
18,6,4,4.898734177215194%
18,6,5,4.911392405063295%
18,6,6,4.911392405063295%
18,6,7,4.911392405063295%
18,6,8,4.911392405063295%
18,6,9,4.911392405063295%
18,6,10,4.911392405063295%
18,6,11,4.911392405063295%
18,6,12,4.911392405063295%
18,6,13,4.911392405063295%
18,6,14,4.911392405063295%
18,6,15,4.911392405063295%
18,6,16,4.911392405063295%
18,6,17,4.911392405063295%
18,6,18,4.911392405063295%
18,6,19,4.911392405063295%
18,6,20,4.911392405063295%
19,6,1,4.75949367088608%
19,6,2,4.8860759493670916%
19,6,3,4.898734177215194%
19,6,4,4.924050632911396%
19,6,5,4.911392405063295%
19,6,6,4.911392405063295%
19,6,7,4.911392405063295%
19,6,8,4.911392405063295%
19,6,9,4.911392405063295%
19,6,10,4.911392405063295%
19,6,11,4.911392405063295%
19,6,12,4.911392405063295%
19,6,13,4.911392405063295%
19,6,14,4.911392405063295%
19,6,15,4.911392405063295%
19,6,16,4.911392405063295%
19,6,17,4.911392405063295%
19,6,18,4.911392405063295%
19,6,19,4.911392405063295%
19,6,20,4.911392405063295%
20,6,1,4.75949367088608%
20,6,2,4.8860759493670916%
20,6,3,4.924050632911396%
20,6,4,4.924050632911396%
20,6,5,4.911392405063295%
20,6,6,4.911392405063295%
20,6,7,4.911392405063295%
20,6,8,4.911392405063295%
20,6,9,4.911392405063295%
20,6,10,4.911392405063295%
20,6,11,4.911392405063295%
20,6,12,4.911392405063295%
20,6,13,4.911392405063295%
20,6,14,4.911392405063295%
20,6,15,4.911392405063295%
20,6,16,4.911392405063295%
20,6,17,4.911392405063295%
20,6,18,4.911392405063295%
20,6,19,4.911392405063295%
20,6,20,4.911392405063295%
