R,T,I,score
9,6,1,1.2658227848101267%
9,6,2,1.2658227848101267%
9,6,3,1.2658227848101267%
9,6,4,1.2658227848101267%
9,6,5,1.2658227848101267%
9,6,6,1.2658227848101267%
9,6,7,1.2658227848101267%
9,6,8,1.2658227848101267%
9,6,9,1.2658227848101267%
9,6,10,1.2658227848101267%
9,6,11,1.2658227848101267%
9,6,12,1.2658227848101267%
9,6,13,1.2658227848101267%
9,6,14,2.5316455696202533%
9,6,15,1.2658227848101267%
9,6,16,2.5316455696202533%
9,6,17,1.2658227848101267%
9,6,18,2.5316455696202533%
9,6,19,1.2658227848101267%
9,6,20,1.2658227848101267%
10,6,1,1.2658227848101267%
10,6,2,1.2658227848101267%
10,6,3,1.2658227848101267%
10,6,4,1.2658227848101267%
10,6,5,1.2658227848101267%
10,6,6,1.2658227848101267%
10,6,7,1.2658227848101267%
10,6,8,1.2658227848101267%
10,6,9,1.2658227848101267%
10,6,10,1.2658227848101267%
10,6,11,1.2658227848101267%
10,6,12,1.2658227848101267%
10,6,13,1.2658227848101267%
10,6,14,1.2658227848101267%
10,6,15,1.2658227848101267%
10,6,16,1.2658227848101267%
10,6,17,1.2658227848101267%
10,6,18,1.2658227848101267%
10,6,19,1.2658227848101267%
10,6,20,1.2658227848101267%
11,6,1,1.2658227848101267%
11,6,2,1.2658227848101267%
11,6,3,1.2658227848101267%
11,6,4,1.2658227848101267%
11,6,5,1.2658227848101267%
11,6,6,1.2658227848101267%
11,6,7,1.2658227848101267%
11,6,8,1.2658227848101267%
11,6,9,1.2658227848101267%
11,6,10,1.2658227848101267%
11,6,11,1.2658227848101267%
11,6,12,1.2658227848101267%
11,6,13,1.2658227848101267%
11,6,14,1.2658227848101267%
11,6,15,1.2658227848101267%
11,6,16,1.2658227848101267%
11,6,17,1.2658227848101267%
11,6,18,1.2658227848101267%
11,6,19,1.2658227848101267%
11,6,20,1.2658227848101267%
12,6,1,1.2658227848101267%
12,6,2,1.2658227848101267%
12,6,3,1.2658227848101267%
12,6,4,1.2658227848101267%
12,6,5,1.2658227848101267%
12,6,6,1.2658227848101267%
12,6,7,1.2658227848101267%
12,6,8,1.2658227848101267%
12,6,9,1.2658227848101267%
12,6,10,1.2658227848101267%
12,6,11,1.2658227848101267%
12,6,12,1.2658227848101267%
12,6,13,1.2658227848101267%
12,6,14,1.2658227848101267%
12,6,15,1.2658227848101267%
12,6,16,1.2658227848101267%
12,6,17,1.2658227848101267%
12,6,18,1.2658227848101267%
12,6,19,1.2658227848101267%
12,6,20,1.2658227848101267%
13,6,1,1.2658227848101267%
13,6,2,1.2658227848101267%
13,6,3,1.2658227848101267%
13,6,4,1.2658227848101267%
13,6,5,1.2658227848101267%
13,6,6,1.2658227848101267%
13,6,7,1.2658227848101267%
13,6,8,1.2658227848101267%
13,6,9,1.2658227848101267%
13,6,10,1.2658227848101267%
13,6,11,1.2658227848101267%
13,6,12,1.2658227848101267%
13,6,13,1.2658227848101267%
13,6,14,1.2658227848101267%
13,6,15,1.2658227848101267%
13,6,16,1.2658227848101267%
13,6,17,1.2658227848101267%
13,6,18,1.2658227848101267%
13,6,19,1.2658227848101267%
13,6,20,1.2658227848101267%
14,6,1,1.2658227848101267%
14,6,2,1.2658227848101267%
14,6,3,1.2658227848101267%
14,6,4,1.2658227848101267%
14,6,5,1.2658227848101267%
14,6,6,1.2658227848101267%
14,6,7,1.2658227848101267%
14,6,8,1.2658227848101267%
14,6,9,1.2658227848101267%
14,6,10,1.2658227848101267%
14,6,11,1.2658227848101267%
14,6,12,1.2658227848101267%
14,6,13,1.2658227848101267%
14,6,14,1.2658227848101267%
14,6,15,1.2658227848101267%
14,6,16,1.2658227848101267%
14,6,17,1.2658227848101267%
14,6,18,1.2658227848101267%
14,6,19,1.2658227848101267%
14,6,20,1.2658227848101267%
15,6,1,1.2658227848101267%
15,6,2,1.2658227848101267%
15,6,3,1.2658227848101267%
15,6,4,1.2658227848101267%
15,6,5,1.2658227848101267%
15,6,6,1.2658227848101267%
15,6,7,1.2658227848101267%
15,6,8,1.2658227848101267%
15,6,9,1.2658227848101267%
15,6,10,1.2658227848101267%
15,6,11,1.2658227848101267%
15,6,12,1.2658227848101267%
15,6,13,1.2658227848101267%
15,6,14,1.2658227848101267%
15,6,15,1.2658227848101267%
15,6,16,1.2658227848101267%
15,6,17,1.2658227848101267%
15,6,18,1.2658227848101267%
15,6,19,1.2658227848101267%
15,6,20,1.2658227848101267%
16,6,1,1.2658227848101267%
16,6,2,1.2658227848101267%
16,6,3,1.2658227848101267%
16,6,4,1.2658227848101267%
16,6,5,1.2658227848101267%
16,6,6,1.2658227848101267%
16,6,7,1.2658227848101267%
16,6,8,1.2658227848101267%
16,6,9,1.2658227848101267%
16,6,10,1.2658227848101267%
16,6,11,1.2658227848101267%
16,6,12,1.2658227848101267%
16,6,13,1.2658227848101267%
16,6,14,1.2658227848101267%
16,6,15,1.2658227848101267%
16,6,16,1.2658227848101267%
16,6,17,1.2658227848101267%
16,6,18,1.2658227848101267%
16,6,19,1.2658227848101267%
16,6,20,1.2658227848101267%
17,6,1,1.2658227848101267%
17,6,2,1.2658227848101267%
17,6,3,1.2658227848101267%
17,6,4,1.2658227848101267%
17,6,5,1.2658227848101267%
17,6,6,1.2658227848101267%
17,6,7,1.2658227848101267%
17,6,8,1.2658227848101267%
17,6,9,1.2658227848101267%
17,6,10,1.2658227848101267%
17,6,11,1.2658227848101267%
17,6,12,1.2658227848101267%
17,6,13,1.2658227848101267%
17,6,14,1.2658227848101267%
17,6,15,1.2658227848101267%
17,6,16,1.2658227848101267%
17,6,17,1.2658227848101267%
17,6,18,1.2658227848101267%
17,6,19,1.2658227848101267%
17,6,20,1.2658227848101267%
18,6,1,1.2658227848101267%
18,6,2,1.2658227848101267%
18,6,3,1.2658227848101267%
18,6,4,1.2658227848101267%
18,6,5,1.2658227848101267%
18,6,6,1.2658227848101267%
18,6,7,1.2658227848101267%
18,6,8,1.2658227848101267%
18,6,9,1.2658227848101267%
18,6,10,1.2658227848101267%
18,6,11,1.2658227848101267%
18,6,12,1.2658227848101267%
18,6,13,1.2658227848101267%
18,6,14,1.2658227848101267%
18,6,15,1.2658227848101267%
18,6,16,1.2658227848101267%
18,6,17,1.2658227848101267%
18,6,18,1.2658227848101267%
