17,6,2,52.0%
17,6,3,71.0%
17,6,4,77.0%
17,6,5,86.0%
17,6,6,93.0%
17,6,7,94.0%
17,6,8,94.0%
17,6,9,95.0%
17,6,10,85.0%
17,6,11,93.0%
17,6,12,96.0%
17,6,13,96.0%
17,6,14,97.0%
17,6,15,97.0%
17,6,16,95.0%
17,6,17,95.0%
17,6,18,99.0%
17,6,19,99.0%
17,6,20,99.0%
18,6,1,29.0%
18,6,2,52.0%
18,6,3,73.0%
18,6,4,77.0%
18,6,5,87.0%
18,6,6,93.0%
18,6,7,94.0%
18,6,8,95.0%
18,6,9,95.0%
18,6,10,92.0%
18,6,11,98.0%
18,6,12,96.0%
18,6,13,97.0%
18,6,14,97.0%
18,6,15,97.0%
18,6,16,97.0%
18,6,17,97.0%
18,6,18,99.0%
18,6,19,99.0%
18,6,20,99.0%
19,6,1,31.0%
19,6,2,56.0%
19,6,3,76.0%
19,6,4,82.0%
19,6,5,87.0%
19,6,6,93.0%
19,6,7,96.0%
19,6,8,95.0%
19,6,9,95.0%
19,6,10,95.0%
19,6,11,98.0%
19,6,12,98.0%
19,6,13,97.0%
19,6,14,97.0%
19,6,15,97.0%
19,6,16,97.0%
19,6,17,98.0%
19,6,18,99.0%
19,6,19,99.0%
19,6,20,99.0%
20,6,1,33.0%
20,6,2,56.0%
20,6,3,82.0%
20,6,4,84.0%
20,6,5,90.0%
20,6,6,93.0%
20,6,7,97.0%
20,6,8,97.0%
20,6,9,95.0%
20,6,10,95.0%
20,6,11,98.0%
20,6,12,98.0%
20,6,13,98.0%
20,6,14,97.0%
20,6,15,98.0%
20,6,16,97.0%
20,6,17,98.0%
20,6,18,99.0%
20,6,19,99.0%
20,6,20,100.0%
