R,T,I,score
16,6,14,2.564304993252362%
16,6,15,2.5339743589743606%
16,6,16,2.537213225371122%
16,6,17,2.517307692307693%
16,6,18,2.5%
16,6,19,2.50448717948718%
16,6,20,2.5012820512820513%
17,6,1,1.9329709392457772%
17,6,2,1.4538562939491733%
17,6,3,2.193336251230988%
17,6,4,3.2686554515501878%
17,6,5,2.665433247012195%
17,6,6,2.5780695675432526%
17,6,7,2.608020267230793%
17,6,8,2.878854360433308%
17,6,9,2.5939608636977063%
17,6,10,2.568960863697707%
17,6,11,2.5918690958164654%
17,6,12,2.564304993252362%
17,6,13,2.5412280701754404%
17,6,14,2.5491228070175453%
17,6,15,2.533333333333335%
17,6,16,2.533333333333335%
17,6,17,2.5070512820512825%
17,6,18,2.5%
17,6,19,2.5012820512820513%
17,6,20,2.5%
18,6,1,1.5775820103711948%
18,6,2,1.8245913206439521%
18,6,3,1.5417004048582994%
18,6,4,2.863727982149035%
18,6,5,2.6552840000208424%
18,6,6,2.555909654593866%
18,6,7,2.577884159463107%
18,6,8,2.567408906882591%
18,6,9,2.533805668016195%
18,6,10,2.558805668016195%
18,6,11,2.5366734143049947%
18,6,12,2.535357624831311%
18,6,13,2.533333333333335%
18,6,14,2.533333333333335%
18,6,15,2.533333333333335%
18,6,16,2.533333333333335%
18,6,17,2.50448717948718%
18,6,18,2.5%
18,6,19,2.5%
18,6,20,2.5%
19,6,1,1.5023061685687125%
19,6,2,3.2041549646812797%
19,6,3,2.5860998650472338%
19,6,4,2.833505107189318%
19,6,5,2.6072579664684934%
19,6,6,2.54075847102163%
19,6,7,2.5500027355290515%
19,6,8,2.509682860998651%
19,6,9,2.5298245614035095%
19,6,10,2.5304993252361676%
19,6,11,2.534008097165994%
19,6,12,2.533333333333335%
19,6,13,2.533333333333335%
19,6,14,2.533333333333335%
19,6,15,2.533333333333335%
19,6,16,2.533333333333335%
19,6,17,2.5%
19,6,18,2.5%
19,6,19,2.5%
19,6,20,2.5%
20,6,1,1.4597432840660391%
20,6,2,2.811397429818484%
20,6,3,2.582726045883942%
20,6,4,2.6554148277832494%
20,6,5,2.5768577281735183%
20,6,6,2.5386977058029703%
20,6,7,2.6222672064777335%
20,6,8,2.5012820512820513%
20,6,9,2.5213225371120114%
20,6,10,2.5213225371120114%
20,6,11,2.5115384615384624%
20,6,12,2.50448717948718%
20,6,13,2.533333333333335%
20,6,14,2.5089743589743594%
20,6,15,2.517307692307693%
20,6,16,2.517307692307693%
20,6,17,2.5%
20,6,18,2.5%
20,6,19,2.5%
20,6,20,2.5%
