R,T,I,score
19,6,8,4.979866790992711%
19,6,9,4.936445965759762%
19,6,10,4.926349557615387%
19,6,11,4.983545989875109%
19,6,12,4.925945362654227%
19,6,13,4.9309677664108085%
19,6,14,4.910174213971685%
19,6,15,4.960727036676408%
19,6,16,5.1084274375413665%
19,6,17,4.942388834793902%
19,6,18,4.911392405063295%
19,6,19,4.911392405063295%
19,6,20,4.911392405063295%
20,6,1,3.427919723929082%
20,6,2,4.014674389364508%
20,6,3,5.598158437165771%
20,6,4,5.828756857177914%
20,6,5,4.873374606739035%
20,6,6,4.952667585578983%
20,6,7,4.977805283767981%
20,6,8,4.848276196377465%
20,6,9,4.899874387216164%
20,6,10,4.91899095796498%
20,6,11,4.948652613209579%
20,6,12,4.896991194459552%
20,6,13,4.920680585237552%
20,6,14,4.8977984041275215%
20,6,15,4.951476793248949%
20,6,16,5.049496916585528%
20,6,17,4.9753326841934475%
20,6,18,4.911392405063295%
20,6,19,4.911392405063295%
20,6,20,4.911392405063295%
