,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,98.6478869616268%,97.45664115724203%,96.42875360584361%,95.83825615142388%,95.31004271607765%,94.53577712059983%,93.68799019817756%,93.10614233341492%,92.49013011075445%,92.08486953148538%,91.71286620687748%,91.38283386250251%,91.04113199155778%,90.69176097031509%,90.37653429619054%,90.22167121229911%,89.9855880736871%,89.76247081554556%,89.67102901921098%,89.64359094115747%
12,98.61421514106796%,97.36510598656915%,96.35060565923479%,95.68744540891753%,95.13677272454488%,94.34304094643379%,93.46960308604736%,92.87284180715878%,92.23823883613093%,91.84028794478206%,91.42429857148748%,91.11211279743071%,90.71838690028743%,90.34552079830812%,90.03952147839593%,89.87494470006892%,89.62762877636345%,89.3653350005812%,89.3325030410188%,89.25143821894066%
13,98.58913669137422%,97.31299598307766%,96.2532496640246%,95.51190614224234%,94.9164053754387%,94.1073252429384%,93.17676609576601%,92.60175401392844%,92.00154539073081%,91.52959659467912%,91.1222434105135%,90.76807991255926%,90.37501503262125%,89.97990637781089%,89.70193662977364%,89.57149977612414%,89.2983134292913%,89.02428331971255%,88.94951717470056%,88.92387115085108%
14,98.56693624677467%,97.23330649620877%,96.17045671254425%,95.43269923992649%,94.80508642852956%,94.01762381917803%,93.08421678125647%,92.47078223802166%,91.83197378007512%,91.39486167490465%,90.97493234864554%,90.5892228873235%,90.2206687074867%,89.81234107853635%,89.51558414757228%,89.39699629725555%,89.17007910214795%,88.88255305431018%,88.81522079963634%,88.7419519901104%
15,98.52226425210269%,97.20085699116876%,96.11746758394011%,95.37568197597633%,94.69087626899206%,93.88641733120025%,92.9260686406833%,92.30506597402113%,91.65467031776222%,91.20407292627876%,90.78412365357818%,90.41397849783608%,90.03263539218572%,89.64630552418838%,89.35493632436497%,89.2140859731177%,89.0019992896772%,88.78599100625512%,88.70504656483659%,88.6304413559112%
16,98.50806693517265%,97.17199868253405%,96.09327032900282%,95.3409909461569%,94.642389994317%,93.79748090129648%,92.8478627994973%,92.22528060506953%,91.5753617255016%,91.1348099799962%,90.7396129392075%,90.35395028307806%,89.96800801725803%,89.56032487738638%,89.27449453437795%,89.12134536202706%,88.87634547308588%,88.62962148153214%,88.57727880043781%,88.49962624164631%
17,98.42210509686103%,97.08196552565681%,95.98881788066092%,95.23177333643467%,94.49636252367998%,93.6457365160054%,92.71053940669435%,92.04613427599732%,91.40646376207741%,90.97523132229728%,90.56533093531056%,90.17459143278228%,89.72135292869915%,89.31475681926172%,88.99543133034916%,88.89023041392142%,88.56670500573297%,88.23298810743668%,88.191760998715%,88.13496470683798%
18,98.31091630317276%,96.94109994597788%,95.87453070142138%,95.05371176958117%,94.22530387578256%,93.34947004083848%,92.39901520905842%,91.67108915619086%,91.07040164527396%,90.65118048196494%,90.23326025043647%,89.85086794317215%,89.44055488707897%,89.0139101265281%,88.66714575571325%,88.46680517734468%,88.17668986991062%,87.780105480687%,87.72234412777627%,87.6556481847057%
19,98.31322453081164%,96.9321296953958%,95.80934914343092%,94.99274014674421%,94.11165653170994%,93.20307047815207%,92.21316811434494%,91.46117083562423%,90.84399316555808%,90.37298950675209%,89.93628764266467%,89.55699709270384%,89.12415733003238%,88.7275176149711%,88.34233795246445%,88.13773066978779%,87.82138030320611%,87.4698081430909%,87.41730076123545%,87.332015057678%
20,98.31322453081164%,96.87952813914946%,95.78671357946492%,94.95079069092567%,94.08880422638998%,93.16040886205181%,92.1252091935933%,91.38917120840046%,90.78221859433174%,90.2006005883303%,89.79348874946213%,89.43129993011702%,88.98260134532984%,88.6134483499509%,88.1967152724054%,87.97320649413199%,87.64222280950675%,87.25866754312182%,87.22599119224594%,87.1440402394206%
